phone,doctor_id
11043321819,83810
16001338908,97080
13863794026,30495
15423511615,28893
15940781618,44597
14959310341,45082
13164752553,72357
14192832764,29871
18350305641,83320
13953767242,83227
13884969653,90198
12871012269,52581
11669784801,60142
18451462704,47447
18281489325,20033
12880957015,78104
14303911718,98419
12278248963,94646
18346578713,39117
13150983930,69514
11031051834,31385
17382997376,99693
13116566701,69163
10651333872,26365
16247317810,32493
18013267736,82719
10260647468,36500
17234309805,61953
10097882081,56498
12191361939,7944
19091699854,18373
13534624751,12833
10799118384,21798
12513542784,282
19808412411,72845
18244935348,96434
17401640052,20635
14278680112,52923
18059826204,54948
15053315869,34814
12322602563,81416
14216073375,45745
14330365414,39651
15868501429,13577
14019655698,35697
11693406088,32914
13561595148,464
14656482366,56057
12994680443,72420
16995777387,89399
12148951343,31029
13200379176,43540
19367632016,50140
13287083172,40001
17889579868,36517
17277434873,70282
14714345581,78193
12236231665,75574
18760366909,90027
16705466889,43279
13734670656,87410
12729806990,49695
11627204653,27549
17556464170,62021
18053100330,82960
19232719374,19313
15299124190,59692
14966319314,31979
19190586518,67889
15067165726,69616
12849877694,55933
15314737996,98536
15075273545,10155
14948083136,19769
17837770143,61069
16349578856,91163
18557444313,98759
15182337498,79069
19413435240,87670
18240084271,70008
10947775204,23819
17116719022,36471
19413186999,70702
13867749649,5276
19091334123,16544
12812067974,21992
10344713493,14168
16183242102,9961
14994717464,78697
18877190659,9038
14013990490,47472
12787429671,35400
17565512567,35179
14680715451,74691
16808760385,27802
19770348247,67715
17109324808,90519
16131712748,29045
14677378263,97771
19821465840,15814
14499727875,94972
15886753396,47301
13605766270,38290
12895171870,37268
12621745961,14953
15865780913,19555
14316117240,79471
10504556238,77139
16922219693,81987
17923747407,350
14821759464,92662
17436713695,77304
19440640909,19528
17439533942,98167
11047095214,91715
15623285884,56626
12474517123,76955
16851604817,85394
15496513709,61605
18593174612,64942
10047113826,15194
17586926179,7104
16405377351,26680
15850643171,82578
13900532931,12217
18393352904,65323
12284210205,59871
13950240268,44548
11177589178,76011
13908470076,72340
16177115921,30613
12499856984,85461
17896118367,13154
13657661565,85823
14527111161,88389
15280988516,80931
15604945198,99663
13273158514,6028
19368998094,54008
10244550229,81226
16120183667,33466
15254599102,20706
12901476797,39599
16438156149,47049
17840369003,74177
14324451076,30162
12268388516,86400
10607159696,57779
16416052975,54460
