phone,patient_id
11043321819,83810
16001338908,13434
13863794026,12280
15423511615,54987
15940781618,44597
14959310341,12676
13164752553,70284
14192832764,75674
18350305641,10458
13953767242,21319
13884969653,79840
12871012269,35382
11669784801,7331
18451462704,27653
18281489325,51856
12880957015,97647
14303911718,47447
12278248963,14371
18346578713,50019
13150983930,89166
11031051834,14621
17382997376,65612
13116566701,79818
10651333872,69514
16247317810,40306
18013267736,99693
10260647468,34741
17234309805,90422
10097882081,59177
12191361939,30161
19091699854,43309
13534624751,94811
10799118384,53354
12513542784,61213
19808412411,14322
18244935348,36509
17401640052,12833
14278680112,21798
18059826204,49672
15053315869,86752
12322602563,75914
14216073375,62493
14330365414,10500
15868501429,15713
14019655698,74085
11693406088,31285
13561595148,1220
14656482366,34760
12994680443,57433
16995777387,86951
12148951343,97310
13200379176,90111
19367632016,12097
13287083172,83507
17889579868,73519
17277434873,48393
14714345581,5229
12236231665,73385
18760366909,23206
16705466889,87806
13734670656,50140
12729806990,60332
11627204653,25313
17556464170,52386
18053100330,34237
19232719374,45309
15299124190,33386
14966319314,87062
19190586518,40538
15067165726,55108
12849877694,53225
15314737996,79516
15075273545,62021
14948083136,67561
17837770143,88184
16349578856,62277
18557444313,25485
15182337498,98430
19413435240,60889
18240084271,87500
10947775204,80301
17116719022,58446
19413186999,83579
13867749649,57654
19091334123,10561
12812067974,54377
10344713493,51049
16183242102,49857
14994717464,70545
18877190659,57125
14013990490,16728
12787429671,11003
17565512567,49689
14680715451,36471
16808760385,2540
19770348247,85426
17109324808,81439
16131712748,91680
14677378263,14168
19821465840,9961
14499727875,39529
15886753396,45508
13605766270,55057
12895171870,92708
12621745961,63372
15865780913,11359
14316117240,44092
10504556238,33862
16922219693,25042
17923747407,90519
14821759464,38566
17436713695,62031
19440640909,35509
17439533942,70236
11047095214,36241
15623285884,38829
12474517123,5965
16851604817,64340
15496513709,44657
18593174612,52521
10047113826,39824
17586926179,68494
16405377351,40026
15850643171,34687
13900532931,350
18393352904,37762
12284210205,34675
13950240268,29466
11177589178,40319
13908470076,90266
16177115921,57377
12499856984,3390
17896118367,75529
13657661565,36458
14527111161,45607
15280988516,90921
15604945198,4809
13273158514,67449
19368998094,67952
10244550229,35003
16120183667,15915
15254599102,72199
12901476797,60482
16438156149,38254
17840369003,59871
14324451076,54387
12268388516,95164
10607159696,70592
16416052975,24727
11613696816,5720
14535218188,64923
13552312432,13069
19212779979,20232
19552717744,85175
19058147700,70912
15411998679,56881
18079359782,3794
10715182037,19080
17889255466,79887
15905151864,18758
14925192546,60981
12914865281,45293
16850542357,39599
13322141888,74963
10592962229,35976
12706537947,30162
13834735977,99035
14688623924,82242
10758181412,95991
14782613750,26318
16068536153,21567
10515220472,97853
17790104328,98848
19861434103,47942
16971179808,48311
19324609539,14201
16218518888,84889
18067065405,18320
11531952058,70457
15277221704,54379
13030548687,4288
14034505415,13022
16676527758,24878
14161692845,84109
11154479627,74000
15705964016,30539
15820297021,17038
13556909275,1947
15719285654,6868
13102786814,47453
14739473121,86363
17271551884,55872
14225831323,42219
17058957829,71874
11146786691,12999
12517785289,29949
12268018242,40966
12535841438,8799
14249818299,17054
12299590010,46346
19439690784,37700
14736471027,29392
16773592555,75248
16258815371,23647
14732104696,18776
13259532787,4018
17470168733,20631
19500479748,88338
10162456506,54287
10983584168,88895
17849912165,78554
15852398680,33491
10025787298,16932
12595269495,57176
18887947055,53008
11694097499,22527
13097289623,31891
10913075626,29041
13689702838,46019
15786527858,33550
15497334843,60811
14437575844,84278
11986652404,61462
11574733848,66497
14219933083,10057
13016571208,60648
12677345401,85437
19380262067,45015
12400499154,57595
17887287431,50779
15274205493,8639
12966851612,43694
12753046374,16901
15499045301,16750
17426841459,47425
13327279568,63736
17833918785,13256
11910883982,78282
12587139718,53852
17072867908,30671
17406403910,48213
16518017046,50052
12265676618,79254
12512868230,13446
10478686337,35755
15243106903,59130
13119079030,49015
16738302843,12987
19599534283,61925
16440892687,10384
10568566246,79807
12873342708,6258
16688263435,78215
11751830469,56261
19013983735,68614
14033173936,83318
13854678544,31604
15877175355,71567
16093204899,82802
16423536937,5741
18547772522,52196
18728080100,37501
16231203875,57272
10997700886,65038
10084840862,10345
11182339845,13447
14615679334,21842
11016668700,80589
12176591803,47619
13974014890,79635
12503926142,84562
19396856218,48623
15016315999,41207
16504773586,67861
16296194311,28124
14262655110,9706
14754121267,87535
18886101581,93298
19956046618,29391
13982622444,3445
17212646471,17009
15437993712,68903
14065965756,58979
19245937526,83859
15479356465,7263
11939828073,92973
17416724342,25729
16617979688,69924
16805891135,94454
12909656101,5958
14388899375,54602
16798250714,63300
16112545738,90257
17571775140,18830
11051238282,99701
15867362266,35058
10937966033,32541
14191825537,24881
11478596969,65191
11557924991,76460
12513412528,37453
16692966278,95355
12827422579,25513
10507236887,36663
16767721903,48915
14043842797,78966
18819148580,62094
17836134074,41750
15171339596,66809
12923309584,48281
19825449481,78238
12604223253,62973
16729466711,4138
16845775901,54890
17518636374,96447
15458929750,86799
10170127706,44869
13242415415,32311
12064361103,90471
17129387005,37721
11627136111,45237
15542622189,45398
10927532697,35537
13112196565,76917
12341389994,13133
10438983640,72135
13761379180,99078
15526965827,30437
11091043006,4763
18486661889,4910
12414183285,68723
16914630316,43343
11799042102,96549
10275884252,83719
14105648149,24219
11778507925,30870
12419138000,1498
13075622086,61000
13536541951,48174
18023806174,98007
14518705349,99858
14937597383,10237
12060385050,21566
16413836702,64071
14103865719,59873
11826199062,33352
13445655743,70931
11329121277,23590
15618537474,58790
11124903521,17431
13568044206,16691
17883171210,60686
10323651994,60375
11013721510,80599
17029667066,77849
12532447209,57535
19934768701,30692
14626383806,31051
15787598564,7989
12059304078,72856
15932133480,91266
13965223955,62065
19059929378,7552
14270103930,26651
18705932525,70206
10029218515,9539
16915452267,43642
15289539264,15376
14220969029,26805
15939172513,61112
15521570433,61080
11541006762,26624
16765861793,34180
12710405411,43236
15262181599,89764
17062962015,60401
13368844431,64004
10698720506,87584
11497310324,8908
11714677418,86413
16256527047,94659
17434902115,23496
18693806868,69003
17937416089,60161
18992172233,10566
12061632945,72443
11168685487,56873
10998616229,27710
19911914856,89709
14679970246,2052
12996065307,21292
14505444713,43480
12475469137,7038
13678508214,42778
18628902330,72487
13070534578,32302
16103579727,83086
19855241406,40405
10293333468,58830
10072290349,12198
14466574374,50829
18969108589,89825
19441715454,8292
14432830965,47333
12074466609,60012
19353875842,43193
18241724825,91133
11353465549,96321
14717099917,51502
13816846022,23583
13569725217,57469
15250074329,88208
12712966667,93747
16008350583,76315
10033542168,91964
19421044789,21802
18562575326,56420
10332309821,73137
15064890901,89070
10016761847,13703
12304618499,45656
12618914117,62411
13934835642,5856
10873753001,97057
11972181143,60562
17447012045,56640
15611002255,50965
17941552166,13336
17467621202,14936
11697972965,76939
19027716701,80541
14508993588,15328
19163756289,75340
10028772175,37858
13540838663,1256
11779717751,85599
17016608801,64054
19948837550,29470
13758997571,72053
11305548851,71046
10272614933,13423
11637351609,4224
11779827080,31056
18697829221,21755
16995866934,45982
16547226984,38356
18583339452,7770
12885158799,32725
16846081062,51472
10034244204,59243
13805719838,91056
16384066658,96039
10043973598,52129
19334721228,37171
11606484229,6021
14057202590,57840
19479851583,85196
12818268861,32819
15335554398,40043
17801573993,142
10561648408,1217
15887704358,62613
11128801336,17973
11386120750,18724
11102481934,27925
16676650618,28474
10919015814,56280
14914766072,72534
18326842450,86298
18821009968,84694
18143536822,31599
12394312908,50703
17814141397,99972
15523149135,34365
17759492995,54451
15620533645,10357
12577754781,76865
12914283411,7589
10809969308,40539
14887256394,17984
12788165803,21884
19282722992,3847
17503731453,82251
10385677005,21873
11844989266,29937
15918463865,50197
15779082723,29427
11843222591,74912
13651777392,6019
16030299228,42899
10920242869,39834
19041379772,25614
13692929842,53744
15799136621,96741
10388629127,7850
19908811729,68125
18068650863,76122
17659916247,8163
13149864300,41288
19818063565,30619
11269448695,61086
19463688725,59233
18874495621,92367
13721386589,46627
10260127961,4073
11435190669,18322
18490277038,52505
14309883920,2857
15302146566,43456
19380118489,94952
15543937690,24530
14268181845,80868
11848947697,7992
13577907141,32656
16335658804,62873
13416518275,3416
15394237333,69393
14333395211,86096
11790807595,75457
17947284639,23081
12086780856,92202
12718750036,64517
19155942843,2612
14795527636,93970
15564729293,76888
11438663227,9506
10267288574,39552
14890612034,85089
17175455884,22983
15061593998,92013
12455877169,83839
14722569961,31194
11253554496,58540
14759876220,94426
12341326111,64629
17800681149,75766
12164334722,4379
18200557784,21090
18728299796,92340
18845783174,20591
15642400825,94638
14780774064,6505
19308536866,500
13266341638,27125
19448463122,52096
14179749735,50793
10208021442,34510
17031207356,98596
14757051204,99150
16187234601,70190
13673037183,51747
17645208814,58856
17435031365,5593
10249163009,77994
17925132719,72358
15005281273,91804
15857306524,19424
10778487392,37498
18557498218,74976
12744857086,5083
12095935186,35203
13878294565,91250
11181022031,97481
17310967899,24633
14053910371,49009
17058650948,66426
10141381138,7553
16338392886,48280
11957612286,64066
18528975585,45121
15665939836,21352
18457760049,29505
10824043350,62140
14888992107,93420
15224593344,33029
11969315727,67045
19194096105,39121
15661390604,36291
18058925832,31496
10679981364,94540
16225179086,53031
14168622783,29145
17693898331,66494
14659116655,16769
13559042597,85778
19270335211,48717
10392405147,76062
17053833884,89220
18792069804,26253
12043940701,10592
16451046368,617
11579812387,64169
18003845762,56283
10555438404,26137
16084325621,24979
16893639264,45134
19578232983,39085
12482629251,44922
18812520566,52873
14742312209,77292
19499939330,70088
15172897526,6322
17722330604,62180
16333127975,86832
17366096569,13751
19988081770,65239
13886086803,46913
14764472649,90204
10827718129,75255
18266570279,33540
13714521117,13082
15186892686,55836
10259222206,43078
14474212309,48840
14077780973,35629
13977671990,14818
13849830220,77430
15020994510,47002
11622499982,14802
17950145561,92349
16814721458,68039
16833901981,63167
17946954899,80335
15299787729,64990
13430107139,6599
16605583034,10332
14144885015,58598
15699023557,73024
17027278576,27112
10849588039,29218
15512405682,93836
19962914504,83055
16173574384,21516
12150317807,24581
18235784521,93950
18230768104,16150
10915701840,96497
19435334485,90677
17142241098,78714
18138585424,35860
19321495870,18111
12070160166,41144
12997954538,93635
11792171747,23306
17332945625,73699
15770171577,37477
12459928161,19048
15814876963,37567
19382761539,98775
16695832197,29400
11997581724,91242
16191965701,72368
13290227846,58073
19973354946,96790
15190986240,89477
15800851403,72954
16965666683,93020
12723865624,64297
12201027621,28830
12679692786,52876
18765326909,47290
17384689500,15036
19751971284,42065
17818913718,3238
19490580778,58400
17956544209,12577
14940792904,89837
19047128144,97896
12944401929,7113
12752437280,53429
15129276637,88250
12395041027,91866
16747836674,79503
12860476580,62126
11856945441,38663
14967393852,72551
15800106181,70405
17534430091,95150
10939111926,80856
19212447174,7128
16542140665,38096
10442717396,43365
12712863917,9149
14101194707,90892
12006425690,22103
18776618306,57163
17198554601,58373
15851743280,36780
16346157173,82132
12030937618,76269
14787005050,71233
16138782931,77280
10270790320,52007
12041792911,80482
11799313656,74233
15198253092,47028
15114262582,30673
17390219620,6086
17100219467,97243
12324876329,47880
10927914560,67681
18331819588,79195
13734031277,67441
12200543645,94018
19701082207,63113
18113799563,2942
15315313636,5136
13179706239,67717
17265273543,11239
15209042177,28752
16253492929,34671
18316873977,30122
14063356939,89701
12906007806,69655
18671773180,157
16325431074,5693
12799077262,45943
15701658046,30475
14989319508,92949
15016579055,90146
12818325381,33244
17933554864,98955
10155778817,72733
18847951371,96440
11624112412,13143
17238046827,21068
15670431038,11552
15695579887,52513
17492424375,57536
14025472928,67608
14222231059,20636
12745238055,53143
12578284106,76406
17275208854,59606
17492975170,13954
12814069375,33776
11509398343,73815
10187186375,89337
19980562656,50157
15045547813,46281
17674266299,52288
11234785196,41139
11064628792,65404
13264870494,30042
17873002447,15712
11462730147,5539
11959796471,36009
15890429025,16809
17252045650,65860
14481832192,91520
